title;artist;upc
"Creed II: The Album";"Mike WiLL Made-It";00602577321153
"World of Warcraft: Wrath of the Lich King Original Soundtrack";"Various Artists";020626607117
"No Shape";"Perfume Genius";744861111351
"Sweet Lies (Featuring Sam Gray)";"SOLANO, Sam Gray";00602557936162
"Colter Wall";"Colter Wall";886446389035
"True to Self";"Bryson Tiller";886446346694
"Crying in the Club";"Camila Cabello";886446504209
FUTURE;Future;886446597102
"Sex Dreams And Denim Jeans";Uffie;5060107726840
"Life Is Eazi, Vol. 1 - Accra To Lagos";"Mr Eazi";5060450062350
"Nan Fon Bwa";"Melissa Laveaux";886446817781
"Another Summer of Love";GospelbeacH;095081019225
"Big Part Of A Big Sun - EP";DeLaurentis;3700750929626
"Another Side";"Fingers Inc.";8718723088664
"French Kiwi Juice";FKJ;3614973508257
"Mountains of Gold (feat. Sampha, Ibeyi, Wiki and Kamasi Washington)";"Everything Is Recorded";191404084854
Droptopwop;"Gucci Mane";075679893833
Revival;Eminem;00602567311874
Evergreen;YEBBA;5060450064231
"Murder Dull Mind";"Amen Dunes";847108051196
"The Beautiful & Damned";G-Eazy;886446765853
"The Infamous";"Mobb Deep";078636648026
"Stubborn Persistent Illusions";"Do Make Say Think";666561012069
"The Optimist";Anathema;802644849263
Lilies;"Melanie De Biasio";5414939963827
HEAVN;"Jamila Woods";656605231266
"First Wave EP";Ycee;886446415185
"Welcome To The Club";"New Hope Club";00602557581133
"H.E.R. Volume 2";H.E.R.;886446553108
"1989 (Deluxe)";"Taylor Swift";00602547066893
"Stole the Show";"Kygo, Parson James";886445569728
"Ain't Nobody (Loves Me Better)";"Felix Jaehn";00602547268792
"The Study On Falling (Deluxe)";"Asaf Avidan";00602567381020
"Salón Lágrimas y Deseo";"Lila Downs";886446472201
Utopia;Darius;3614978288734
"Two Fingers";"Dan Caplen";190295697846
"Ellipsis (Deluxe)";"Biffy Clyro";190295973230
"Silicon Valley: The Soundtrack";"Various Artists";886446598147
Slowdive;Slowdive;656605143262
"Perfect (Acoustic)";"Ed Sheeran";190295710132
Reclassified;"Iggy Azalea";00602547075987
"Beautiful Thugger Girls";"Young Thug";075679892409
Rocket;"(Sandy) Alex G";887828039869
"Culture II";Migos;00602567359807
"Chemistry and Math";Flunk;859725550976
"All On My Mind";"Anderson East";075679888808
"Giving It All";Bondax;886444138482
Ctrl;SZA;886446548418
Stay;Kygo;886445631463
HNDRXX;Future;886446604039
