title;artist;album;isrc;addedDate;addedBy
"Lying Together";FKJ;"Lying Together";FR9W11411340;"2018-10-16 08:04";
"Que Sera";"Wax Tailor";"Tales of the Forgotten Melodies";FRP180400180;"2018-10-16 08:04";
"Southern Man";"Akshin Alizadeh";"Street Bangerz Volume 8";USEAX1401587;"2018-10-16 08:04";
Breathe;Télépopmusik;"genetic world";FR06S0100640;"2018-10-16 08:04";
"Words Remain";Moderator;"The World Within";TCACD1599893;"2018-10-16 08:04";
"Want It Back (feat. Patrice & The Studio School Voices NYC)";"Guts, The School Voices NYC, Patrice";"Hip Hop After All";FR4EO1400039;"2018-10-16 08:04";
Porcelain;Moby;"Play & Play: B Sides";GBAJH9900036;"2018-10-16 08:04";
"Chinese Puzzle - Générique de fin";"Kraked Unit";"Casse Tête Chinois (Bande originale du film de Cédric Klapisch)";FR6V82060973;"2018-10-16 08:04";
"But I Do";Poldoore;"Street Bangerz Volume 6: Playhouse";USEAX1100616;"2018-10-16 08:04";
"Peace and tranquility to earth";Roudoudou;"listener's digest";FRY689701830;"2018-10-16 08:04";
Ghostwriter;RJD2;"Deadringer: Deluxe";USA4T0403506;"2018-10-16 08:04";
"Yeah Yeah Yeah";Kognitif;"Soul Food";TCACF1576204;"2018-10-16 08:04";
"Say It";"The Geek x Vrv";"Say It";USA2P1464970;"2018-10-16 08:04";
"Snow Fire (fg. I)";"AllttA, 20syl, Mr. J. Medeiros";"Snow Fire (fg. I)";FR9T31700018;"2018-10-16 08:04";
"Every Time";"Boogie Belgique";Volta;USEAX1603095;"2018-10-16 08:04";
"Dusk to Dawn";Emancipator;"Dusk to Dawn";DEQ121318487;"2018-10-16 08:04";
Memento;"Omega One";"The Lo-Fi Chronicles";USHKR0911803;"2018-10-16 08:04";
"Sure Thing";"St Germain";"Tourist [Remastered] (Remastered Version)";FR92S1200006;"2018-10-16 08:04";
"Yep (DJ Greem Remix)";Antiloops;"Electroshock Remixed";FR0U91501653;"2018-10-16 08:04";
"Time Is the Enemy";Quantic;"The 5th Exotic";GBEUE0100603;"2018-10-16 08:04";
Limbo;GlobulDub;"Hip Hop Symposium (Full Compilation)";FR9W11707810;"2018-10-16 08:04";
"Soul Below";Ljones;"Soul Below";TCACP1609610;"2018-10-16 08:04";
Nevergreen;Emancipator;"Safe In the Steep Cliffs";US2WU0901522;"2018-10-16 08:04";
"Go Back Home";FKJ;"Go Back Home";FRX201643056;"2018-10-16 08:04";
"All or Nothing (feat. Tanya Morgan & Lorine Chia)";"Guts, Lorine Chia, Tanya Morgan";Eternal;FR4EO1600017;"2018-10-16 08:04";
"What's Your Place ft. Ptates";"Roger Molls";"Metamorphosis Of Muses";FRP621201440;"2018-10-16 08:04";
Woman;"Akshin Alizadeh";"But I Do / Woman";USEAX1703545;"2018-10-16 08:04";
"Brooklyn Streets";Sixfingerz;"Street Bangerz Volume 9";USEAX1502085;"2018-10-16 08:04";
"Funk for Food";Moderator;"Funk for Food";FR9W11620518;"2018-10-16 08:04";
"Peace of What";"RJD2, Jordan Brown";"Dame Fortune";QMBZ91536818;"2018-10-16 08:04";
"Rainy Sunday";Henyao;"Coffee And Unicorns";SE5Q51800757;"2018-10-16 08:04";
Kerala;Bonobo;Kerala;GBCFB1604707;"2018-10-16 08:04";
"Start Shootin'";"Little People";"Mickey Mouse Operation";GBCWH0605515;"2018-10-16 08:04";
Tôzen;Gyvus;Tôzen;USLZJ1612628;"2018-10-16 08:04";
"Fry Day";"Freckle & Pete";"Fry Day";SE5IB1600241;"2018-10-16 08:04";
"The Hype";"Cookie Jar";"The Hype";SE5IB1700812;"2018-10-16 08:04";
"Cherry Pie Jam";"Hollow Clouds";"Cherry Pie Jam";SE5IB1600655;"2018-10-16 08:04";
Gold;"Hugo Kant, Astrid Engberg";"The Point of No Return";FR9W11401493;"2018-10-16 08:04";
"Just for a Day - Sunday";"TM Juke";"Maps from the Wilderness";GBEUE0300449;"2018-10-16 08:04";
"Shoulder Kiss";"Freddie Joachim";"Study Guide";jpz920901176;"2018-10-16 08:04";
"A grand love theme";"Kid Loco";"A Grand Love Story";FRQ260900004;"2018-10-16 08:04";
"La Cienega";"Mad Chronic";"La Cienega";SE5IB1600238;"2018-10-16 08:04";
"Hainan Paradise";SINY;Mitsuwa;SE5Q51800272;"2018-10-16 08:04";
"A Beautiful Eve";Poldoore;"The Day After";USEAX1602926;"2018-10-16 08:04";
"The Bulldog";"Lil Skate";"The Bulldog";SE5IB1600654;"2018-10-16 08:04";
Ekans;Molife;"KEEN: Soft Beats Vol. 1";SE5Q51700372;"2018-10-16 08:04";
"Urban Stories";"Chill Cole";"KEEN: Soft Beats Vol. 1";SE5Q51701078;"2018-10-16 08:04";
"The Journey - Lost Mix";"Chinese Man";"The Journey";FRP7S1500230;"2018-10-16 08:04";
Zimzilla;"Mad Q";Zimzilla;SE5IB1600239;"2018-10-16 08:04";
"Turning Heads";Boyakaza;"Turning Heads";SE5IB1600033;"2018-10-16 08:04";
